date,player,ship,location,faults
2020-01-01,Alice,0,Task,225
2020-01-01,Alice,1,Stan,1058
2020-01-01,Alice,2,Stan,1313
2020-01-01,Alice,3,Stan,1161
2020-01-01,Bob,0,Gaol,1503
2020-01-01,Bob,1,Fate,1429
2020-01-01,Bob,2,Sol,1126
2020-01-01,Bob,4,Kris,393
2020-01-01,Bob,5,Kirk,1344
2020-01-01,Bob,6,Sol,1403
2020-01-01,Charlie,0,Sol,317
2020-01-01,Charlie,1,Hook,148
2020-01-01,Charlie,2,Quin,1213
2020-01-01,Charlie,3,Boyd,415
2020-01-01,Charlie,5,Stan,77
2020-01-02,Alice,0,Gaol,1131
2020-01-02,Alice,1,Sol,238
2020-01-02,Alice,2,Stan,295
2020-01-02,Alice,3,Kris,408
2020-01-02,Bob,0,Ivan,1143
2020-01-02,Bob,1,Gaol,1177
2020-01-02,Bob,2,Stan,234
2020-01-02,Bob,3,Sol,220
2020-01-02,Bob,6,Fate,1436
2020-01-02,Charlie,0,Reef,186
2020-01-02,Charlie,1,Reef,177
2020-01-02,Charlie,2,Stan,1361
2020-01-02,Charlie,3,Stan,1219
2020-01-02,Charlie,4,Ivan,163
2020-01-02,Charlie,5,Stan,1442
2020-01-03,Alice,0,Fate,1198
2020-01-03,Alice,1,Kirk,1367
2020-01-03,Alice,3,Kirk,1269
2020-01-03,Bob,2,Hook,1300
2020-01-03,Bob,4,Kirk,1518
2020-01-03,Bob,5,Hook,1215
2020-01-03,Bob,6,Kirk,1133
2020-01-03,Charlie,0,Boyd,292
2020-01-03,Charlie,1,Kirk,954
2020-01-03,Charlie,3,Reef,243
2020-01-03,Charlie,4,Gaol,1149
2020-01-03,Charlie,5,Ivan,182
2020-01-04,Alice,0,Kris,1244
2020-01-04,Alice,1,Boyd,230
2020-01-04,Alice,2,Fate,1043
2020-01-04,Bob,0,Kris,374
2020-01-04,Bob,1,Gaol,1271
2020-01-04,Bob,2,Stan,238
2020-01-04,Bob,4,Fate,1359
2020-01-04,Bob,5,Task,329
2020-01-04,Charlie,4,Sol,1099
2020-01-04,Charlie,5,Fate,1246
2020-01-05,Alice,3,Gaol,1250
2020-01-05,Bob,0,Kirk,1103
2020-01-05,Bob,2,Ivan,241
2020-01-05,Bob,4,Boyd,1156
2020-01-05,Bob,5,Reef,193
2020-01-05,Bob,6,Boyd,1155
2020-01-05,Charlie,1,Quin,1397
2020-01-05,Charlie,3,Gaol,1148
2020-01-05,Charlie,5,Stan,261
2020-01-06,Alice,0,Task,199
2020-01-06,Alice,1,Sol,376
2020-01-06,Alice,2,Ivan,330
2020-01-06,Alice,3,Gaol,1392
2020-01-06,Bob,0,Kris,1000
2020-01-06,Bob,1,York,314
2020-01-06,Bob,2,Kris,956
2020-01-06,Bob,5,Reef,307
2020-01-06,Bob,6,Hook,303
2020-01-06,Charlie,0,York,1329
2020-01-06,Charlie,1,Hook,299
2020-01-06,Charlie,2,Ivan,249
2020-01-06,Charlie,4,Sol,1248
2020-01-06,Charlie,5,Gaol,1064
2020-01-07,Alice,0,Gaol,1331
2020-01-07,Alice,1,Kirk,942
2020-01-07,Alice,2,Gaol,1306
2020-01-07,Alice,3,York,247
2020-01-07,Bob,0,Task,271
2020-01-07,Bob,1,Kirk,1180
2020-01-07,Bob,2,Ivan,220
2020-01-07,Bob,3,Fate,1340
2020-01-07,Bob,6,Hook,225
2020-01-07,Charlie,0,Reef,1339
2020-01-07,Charlie,1,Reef,979
2020-01-07,Charlie,2,Fate,1360
2020-01-07,Charlie,3,Hook,75
2020-01-07,Charlie,4,York,216
2020-01-07,Charlie,5,Fate,1422
2020-01-08,Alice,0,Reef,248
2020-01-08,Alice,1,Hook,444
2020-01-08,Alice,2,Kirk,1365
2020-01-08,Alice,3,Task,191
2020-01-08,Bob,0,Stan,252
2020-01-08,Bob,1,Reef,1350
2020-01-08,Bob,2,Boyd,195
2020-01-08,Bob,3,Kris,158
2020-01-08,Bob,4,Reef,1075
2020-01-08,Bob,6,Reef,1110
2020-01-08,Charlie,0,Fate,1544
2020-01-08,Charlie,1,York,249
2020-01-08,Charlie,2,Boyd,115
2020-01-08,Charlie,3,Ivan,168
2020-01-08,Charlie,4,Reef,306
2020-01-08,Charlie,5,Quin,1126
2020-01-09,Alice,0,Kris,1309
2020-01-09,Alice,1,Kris,1245
2020-01-09,Alice,3,Hook,247
2020-01-09,Bob,0,Kris,270
2020-01-09,Bob,1,Hook,1310
2020-01-09,Bob,2,Hook,1269
2020-01-09,Bob,3,Kirk,1342
2020-01-09,Bob,4,Hook,1343
2020-01-09,Charlie,0,Ivan,983
2020-01-09,Charlie,1,Gaol,1142
2020-01-09,Charlie,2,Ivan,1017
2020-01-09,Charlie,3,Hook,364
2020-01-09,Charlie,4,Boyd,311
2020-01-09,Charlie,5,Hook,181
2020-01-10,Alice,0,Ivan,263
2020-01-10,Alice,2,Hook,227
2020-01-10,Bob,0,York,233
2020-01-10,Bob,1,Fate,1354
2020-01-10,Bob,2,Task,298
2020-01-10,Bob,3,Quin,1350
2020-01-10,Bob,4,Gaol,996
2020-01-10,Bob,5,Boyd,314
2020-01-10,Bob,6,Ivan,308
2020-01-10,Charlie,0,Hook,1312
2020-01-10,Charlie,2,Quin,1221
2020-01-10,Charlie,3,Reef,378
2020-01-10,Charlie,4,Sol,249
2020-01-11,Alice,1,Hook,170
2020-01-11,Alice,2,Kirk,1277
2020-01-11,Alice,3,Stan,205
2020-01-11,Bob,0,Sol,270
2020-01-11,Bob,1,Fate,1337
2020-01-11,Bob,3,Hook,297
2020-01-11,Bob,5,Task,113
2020-01-11,Charlie,0,Ivan,1476
2020-01-11,Charlie,1,Kris,268
2020-01-11,Charlie,2,Ivan,1201
2020-01-11,Charlie,3,Fate,1104
2020-01-11,Charlie,4,Gaol,1241
2020-01-12,Alice,0,Stan,246
2020-01-12,Alice,2,Boyd,290
2020-01-12,Alice,3,Kirk,1268
2020-01-12,Bob,0,York,296
2020-01-12,Bob,2,Gaol,1123
2020-01-12,Bob,3,Hook,184
2020-01-12,Bob,5,Sol,176
2020-01-12,Bob,6,Kris,286
2020-01-12,Charlie,0,Quin,1344
2020-01-12,Charlie,1,Quin,1250
2020-01-12,Charlie,2,Quin,1343
2020-01-12,Charlie,3,York,302
2020-01-12,Charlie,4,Gaol,1321
2020-01-13,Alice,0,Ivan,1296
2020-01-13,Alice,1,Ivan,1242
2020-01-13,Alice,2,Boyd,248
2020-01-13,Alice,3,Quin,1317
2020-01-13,Bob,0,Sol,1093
2020-01-13,Bob,2,Boyd,151
2020-01-13,Bob,3,Stan,216
2020-01-13,Bob,4,Sol,1285
2020-01-13,Bob,5,Reef,326
2020-01-13,Bob,6,Quin,1127
2020-01-13,Charlie,0,Reef,1540
2020-01-13,Charlie,1,Reef,1159
2020-01-13,Charlie,2,Fate,1321
2020-01-13,Charlie,4,Boyd,242
2020-01-13,Charlie,5,Kirk,1350
2020-01-14,Alice,0,Hook,344
2020-01-14,Alice,1,Kirk,1240
2020-01-14,Alice,2,Task,309
2020-01-14,Alice,3,Ivan,181
2020-01-14,Bob,1,Gaol,1110
2020-01-14,Bob,2,Hook,277
2020-01-14,Bob,4,Boyd,382
2020-01-14,Charlie,1,Hook,1469
2020-01-14,Charlie,4,Boyd,1250
2020-01-14,Charlie,5,Boyd,1232
2020-01-15,Alice,0,Gaol,1213
2020-01-15,Alice,1,Boyd,251
2020-01-15,Alice,2,Ivan,1210
2020-01-15,Bob,0,Ivan,335
2020-01-15,Bob,1,Quin,1254
2020-01-15,Bob,2,Kirk,1199
2020-01-15,Bob,4,Quin,1329
2020-01-15,Bob,5,Hook,124
2020-01-15,Bob,6,Kris,176
2020-01-15,Charlie,0,Kirk,1238
2020-01-15,Charlie,1,Hook,306
2020-01-15,Charlie,2,Boyd,339
2020-01-15,Charlie,3,Ivan,239
2020-01-15,Charlie,4,Stan,182
2020-01-15,Charlie,5,Gaol,1441
2020-01-16,Alice,0,Stan,198
2020-01-16,Alice,1,Fate,1148
2020-01-16,Alice,2,Task,288
2020-01-16,Alice,3,Reef,130
2020-01-16,Bob,0,Fate,1401
2020-01-16,Bob,1,Hook,1219
2020-01-16,Bob,2,Kris,138
2020-01-16,Bob,4,Stan,326
2020-01-16,Bob,5,Task,360
2020-01-16,Bob,6,Hook,1448
2020-01-16,Charlie,1,Fate,1100
2020-01-16,Charlie,2,Gaol,1265
2020-01-16,Charlie,3,Kirk,1236
2020-01-16,Charlie,5,York,277
2020-01-17,Alice,0,Kirk,1237
2020-01-17,Alice,1,Task,309
2020-01-17,Alice,2,Sol,95
2020-01-17,Alice,3,Hook,132
2020-01-17,Bob,3,Quin,1215
2020-01-17,Bob,4,Boyd,404
2020-01-17,Bob,5,Quin,1209
2020-01-17,Bob,6,Kirk,1135
2020-01-17,Charlie,1,Hook,1298
2020-01-17,Charlie,2,Sol,167
2020-01-17,Charlie,3,Hook,1370
2020-01-17,Charlie,4,Hook,1227
2020-01-17,Charlie,5,Kris,289
2020-01-18,Alice,1,Hook,136
2020-01-18,Alice,2,Quin,1178
2020-01-18,Alice,3,Sol,231
2020-01-18,Bob,0,Stan,225
2020-01-18,Bob,1,Kris,319
2020-01-18,Bob,2,Boyd,227
2020-01-18,Bob,3,York,246
2020-01-18,Bob,4,Kirk,1124
2020-01-18,Bob,5,Reef,180
2020-01-18,Bob,6,Gaol,1438
2020-01-18,Charlie,0,Gaol,1131
2020-01-18,Charlie,2,Sol,1344
2020-01-18,Charlie,3,Kris,222
2020-01-18,Charlie,4,Sol,1401
2020-01-18,Charlie,5,Kris,316
2020-01-19,Alice,0,Boyd,294
2020-01-19,Alice,1,Fate,1233
2020-01-19,Alice,2,Kris,275
2020-01-19,Alice,3,Fate,1107
2020-01-19,Bob,0,Hook,307
2020-01-19,Bob,2,Sol,184
2020-01-19,Bob,3,Reef,353
2020-01-19,Bob,4,Stan,1239
2020-01-19,Bob,5,Sol,217
2020-01-19,Bob,6,Boyd,241
2020-01-19,Charlie,1,Hook,1376
2020-01-19,Charlie,2,Fate,1335
2020-01-19,Charlie,3,Sol,218
2020-01-19,Charlie,4,Hook,1389
2020-01-20,Alice,0,York,118
2020-01-20,Alice,1,Task,271
2020-01-20,Alice,2,Kirk,1111
2020-01-20,Alice,3,Sol,264
2020-01-20,Bob,0,Gaol,1195
2020-01-20,Bob,1,Sol,384
2020-01-20,Bob,2,Gaol,1213
2020-01-20,Bob,4,Ivan,325
2020-01-20,Bob,5,Stan,267
2020-01-20,Bob,6,Fate,1081
2020-01-20,Charlie,0,Fate,1396
2020-01-20,Charlie,2,Kris,360
2020-01-20,Charlie,3,Task,118
2020-01-20,Charlie,4,York,194
2020-01-20,Charlie,5,Kirk,1334
2020-01-21,Alice,0,Hook,220
2020-01-21,Alice,2,Kris,1176
2020-01-21,Bob,0,Reef,330
2020-01-21,Bob,1,Hook,373
2020-01-21,Bob,2,Gaol,1047
2020-01-21,Bob,3,Quin,1062
2020-01-21,Bob,5,Sol,208
2020-01-21,Bob,6,Gaol,1320
2020-01-21,Charlie,0,Ivan,1217
2020-01-21,Charlie,1,Kris,318
2020-01-21,Charlie,2,Hook,214
2020-01-21,Charlie,3,Gaol,1132
2020-01-21,Charlie,4,Quin,1476
2020-01-21,Charlie,5,Ivan,1250
2020-01-22,Alice,1,Ivan,359
2020-01-22,Alice,3,York,339
2020-01-22,Bob,0,Hook,283
2020-01-22,Bob,1,Fate,1433
2020-01-22,Bob,2,Stan,269
2020-01-22,Bob,4,Quin,1343
